merchantid,totalunitssold,meanunitssoldperproduct,rating,meanproductprices,meanretailprices,averagediscount,meandiscount,meanproductratingscount,urgencytextrate
5357bcf2bb72c5504882e889,120000,60000.0,4.219,9.0,20.0,54.0,54.0,8836.0,50.0
5708773c3c02161b3f8c7900,107100,21420.0,3.934,7.76,34.2,61.0,61.0,4010.0,60.0
5417aada4ad3ab27e954b76c,100007,50004.0,4.053,8.0,8.0,-1.0,-1.0,5531.0,65.57289002557545
570f3a713a698c14278bb51e,100000,100000.0,3.889,5.67,19.0,71.0,71.0,18393.0,100.0
53082ea15aefb07dfe1f2a4f,100000,100000.0,4.036,5.0,33.0,85.0,85.0,13789.0,65.57289002557545
53f2beb39020ee03566d6e18,100000,100000.0,4.067,5.77,48.0,88.0,88.0,20744.0,65.57289002557545
5926c5ace8ff5525241b368d,96000,13714.0,4.139,6.69,6.29,-4.0,-3.86,2250.0,14.0
5860c757b1e41d4d67d183e8,90100,22525.0,4.049,3.43,3.75,11.0,11.0,6290.0,50.0
52bd3ddb34067e4620a4c62d,80000,26667.0,4.104,7.22,14.67,33.0,33.33,6136.0,33.0
5a7b23a69bda4e3d375e7b3f,80000,16000.0,3.966,8.4,7.8,-7.0,-6.8,2093.0,20.0
53a2a09ad91139519161a267,75000,25000.0,4.256,13.33,100.33,86.0,86.0,4007.0,33.0
539937d634067e06707b1a8e,71100,17775.0,3.968,11.5,86.25,87.0,87.25,6491.0,50.0
58ad449708de0c6dc59d9e06,63100,10517.0,4.147,3.61,3.33,-4.0,-4.17,3292.0,17.0
56e43d9e3a698c3826a5feff,61000,20333.0,4.179,8.67,8.0,-8.0,-8.0,5086.0,33.0
53aa664438d3046ee44a5024,60100,15025.0,4.128,12.5,83.0,86.0,85.5,2517.0,65.57289002557545
53facca81c105e3d5866e212,60000,20000.0,4.157,9.0,114.0,58.0,57.67,3986.0,33.0
5384613a796f680f9d78a127,60000,20000.0,4.387,16.33,14.33,-14.0,-13.67,3708.0,65.57289002557545
558c2cdc89d53c4005ea2920,58500,3900.0,3.885,4.18,4.13,1.0,1.2,749.0,40.0
55c8a4c33a698c6010edcd9e,55200,9200.0,4.121,5.39,5.17,-3.0,-2.67,1141.0,33.0
58106cfce516491e6e5f1e53,55000,27500.0,4.156,5.5,5.0,-8.0,-8.0,5481.0,50.0
5acaf29d5ebcfd72403106a8,54300,4525.0,4.045,5.56,5.17,-4.0,-4.33,512.0,33.0
54af9c1428565a151043b6bf,50000,16667.0,4.038,8.0,7.33,-9.0,-9.33,5719.0,33.0
557ed5b886d66519ff242099,50000,12500.0,4.154,7.12,6.5,-9.0,-9.25,2034.0,25.0
57568f454054c95cbd8d1619,50000,50000.0,3.84,8.0,54.0,86.0,86.0,14568.0,65.57289002557545
5652f4053a698c76dc9a3f37,50000,50000.0,4.077,7.0,6.0,-16.0,-16.0,6742.0,65.57289002557545
5542fcb264b4f014ce88ecae,50000,50000.0,4.095,4.0,6.0,34.0,34.0,10927.0,65.57289002557545
58ad356108de0c6dc39d979d,50000,50000.0,4.095,5.0,5.0,0.0,0.0,7088.0,65.57289002557545
544867549719cd33de1048d5,50000,50000.0,4.096,5.7,58.0,91.0,91.0,8164.0,65.57289002557545
54bcaabb39b8c00b482a115f,50000,50000.0,4.105,9.0,81.0,89.0,89.0,5359.0,65.57289002557545
58c0fff96ecaa3523d59a24d,50000,50000.0,4.165,2.0,2.0,0.0,0.0,7575.0,65.57289002557545
572d45c708fad86678ca1938,50000,50000.0,4.216,4.66,11.0,58.0,58.0,10122.0,65.57289002557545
570b67d4a9dc12590be93b79,50000,50000.0,4.228,6.0,6.0,0.0,0.0,12880.0,65.57289002557545
57e5db02e7f40f131adeeaf8,50000,50000.0,4.302,9.0,8.0,-12.0,-12.0,13198.0,65.57289002557545
5639cd9bddb94f103070ef9f,46000,7667.0,3.968,8.5,41.83,67.0,67.17,1526.0,17.0
5533c83986ff95173dc017d0,43100,5388.0,4.081,8.25,7.63,-8.0,-7.62,654.0,25.0
58fdedf645f9b210f58c00cc,41100,10275.0,4.08,7.47,20.25,17.0,16.75,2210.0,25.0
578866243a698c1713f2d19c,41000,13667.0,4.284,5.33,5.0,-5.0,-4.67,5013.0,65.57289002557545
55c8029641d799421d41fe3a,41000,10250.0,3.802,7.0,8.75,17.0,17.25,1351.0,65.57289002557545
5c51b9b468178729c4213657,40000,10000.0,4.109,6.68,6.25,-3.0,-3.5,1177.0,65.57289002557545
576bbb443a698c085103c010,40000,20000.0,4.105,9.5,34.0,73.0,73.0,7364.0,65.57289002557545
53db691bd911395c8b2f92be,40000,20000.0,4.137,11.0,14.0,22.0,22.0,8029.0,50.0
5760bd976238335e38551943,40000,20000.0,4.168,8.0,7.0,-14.0,-14.0,8904.0,50.0
564d8a9ac0f55a1276cd96f8,36100,4513.0,4.106,6.55,23.75,46.0,46.13,644.0,63.0
566012f6769a5629aefca555,32000,6400.0,4.066,10.8,23.8,7.0,7.0,1287.0,20.0
57b03628c676b3573ba2a081,31206,5201.0,4.05,7.67,16.83,39.0,39.17,815.0,50.0
559d33adc605853731afbf10,31000,7750.0,4.0,9.5,8.5,-12.0,-12.0,1495.0,25.0
58330d7def56284f7634e5e5,30000,10000.0,3.936,11.0,10.0,-10.0,-10.0,1479.0,67.0
56dce88d21396a16a47eff39,30000,10000.0,4.188,8.0,84.0,91.0,91.0,2971.0,33.0
5705e40cfda6252c1a9db062,30000,10000.0,4.31,12.67,11.33,-11.0,-11.33,2641.0,67.0
5c74e493a0e25750b550e2a1,30000,7500.0,4.09,6.0,5.75,-2.0,-2.5,990.0,50.0
594756ab53ebe27caad41157,30000,15000.0,3.903,8.5,22.0,55.0,55.0,2348.0,65.57289002557545
576cfeed007b536be4a9ae96,30000,15000.0,3.999,5.41,5.5,2.0,2.0,2493.0,65.57289002557545
583138b06339b410ab9663ec,28100,3122.0,4.007,9.58,17.78,18.0,17.67,390.0,33.0
5c7893301bcc452c015b5de4,27000,6750.0,3.925,10.0,9.0,-11.0,-11.0,984.0,25.0
5763e55cc6053f5e70522ad7,26100,5220.0,3.929,7.76,21.8,17.0,16.8,1099.0,40.0
5aa1f31308a2240a052e9a1a,26000,6500.0,3.872,10.0,8.75,-14.0,-14.0,1537.0,25.0
5cb636dda7173671aedef051,26000,6500.0,4.265,6.34,5.5,-15.0,-15.0,959.0,50.0
5b160017daac45594728d9ba,25200,4200.0,3.909,7.83,7.17,-8.0,-8.33,713.0,67.0
58d109c5e3830f6bcb47e35d,25100,6275.0,3.939,7.0,21.75,42.0,41.5,948.0,25.0
5660e53e769a564b3e3aeca0,25000,12500.0,3.999,9.0,8.5,-6.0,-6.0,2809.0,50.0
5800a8bb50d8ab5aaee15f20,25000,12500.0,4.095,6.87,6.0,-14.0,-14.0,2130.0,65.57289002557545
55cc4e1d845591103477a561,22100,5525.0,3.872,12.75,40.5,69.0,68.5,382.0,25.0
55ed5a3362e273427107759e,22100,5525.0,3.981,11.25,29.25,25.0,25.25,972.0,25.0
5bd29797d32ed5241007af46,22000,7333.0,3.881,8.0,7.0,-14.0,-14.0,766.0,33.0
5ba2251b4315d12ebce873fa,22000,4400.0,4.0,8.36,25.2,68.0,67.6,930.0,40.0
56458aa03a698c35c9050988,21400,3567.0,3.9,5.68,10.33,38.0,37.83,1057.0,50.0
58131ddf6f55296033923a7c,21100,5275.0,4.201,13.25,93.0,86.0,86.25,1060.0,50.0
55769de4fa0be7249554bce2,21000,10500.0,3.998,8.5,7.5,-13.0,-13.0,4913.0,50.0
58b011e82e27bf506cee1ace,21000,10500.0,4.023,9.5,8.5,-12.0,-12.0,1127.0,100.0
53e03f56ff4d6d36d2285ab0,21000,10500.0,4.069,8.0,91.0,92.0,92.0,5277.0,50.0
59c8a909ae228e37ae159559,21000,10500.0,4.085,9.0,13.0,31.0,31.0,670.0,50.0
556fc80f95528719e004fe8b,21000,10500.0,4.099,8.5,7.5,-13.0,-13.0,3514.0,50.0
563c5b3d05398a37780be2e2,21000,10500.0,4.19,11.5,106.0,90.0,90.0,1711.0,50.0
577fb2b368116418674befd9,20300,4060.0,4.138,5.61,5.2,-3.0,-3.2,747.0,40.0
5ab3b592c3911a095ad5dadb,20200,6733.0,4.002,6.15,5.67,1.0,0.67,744.0,33.0
56455b13b15aab129db58cb7,20200,6733.0,4.155,10.33,9.0,-15.0,-14.67,1056.0,65.57289002557545
5406c9c77f086e1be430d73e,20200,4040.0,4.204,9.2,9.0,-3.0,-2.8,847.0,40.0
59b7d6e1eea5c510889ea754,20100,6700.0,3.874,7.67,18.0,58.0,57.67,1018.0,33.0
5b507899ab577736508a0782,20100,6700.0,4.225,6.33,40.67,42.0,42.33,976.0,65.57289002557545
5810aa5bde5bf01b645c909e,20100,10050.0,3.919,3.38,3.5,4.0,4.0,876.0,50.0
56c6f731bc435416ed5984d7,20100,10050.0,4.017,5.75,30.5,39.0,38.5,1516.0,50.0
5a018060448a526b450ddab8,20100,10050.0,4.153,7.5,7.0,-6.0,-6.0,2696.0,50.0
57864d704d669274929898fb,20020,6673.0,3.925,7.67,25.33,51.0,51.33,2872.0,65.57289002557545
584c23fbef56286074d2c9a6,20000,6667.0,3.732,6.6,5.67,-16.0,-15.67,1243.0,65.57289002557545
5b1522ab7b94e12ee3d455c9,20000,6667.0,3.85,6.59,5.67,-16.0,-16.0,549.0,33.0
55e7e41e606d0a18fdfc67d1,20000,6667.0,4.268,10.0,9.0,-11.0,-11.33,1325.0,33.0
583e7f658108913bced6f8cf,20000,6667.0,4.29,9.0,8.0,-13.0,-12.67,902.0,33.0
58216982dd9916453fe2d1a1,20000,6667.0,4.294,5.91,27.0,77.0,77.33,1300.0,67.0
5803772d4dcf7942d7280c39,20000,20000.0,3.915,14.0,12.0,-16.0,-16.0,5891.0,65.57289002557545
5a200757518c1c4b34845a1f,20000,20000.0,3.962,5.8,43.0,87.0,87.0,2407.0,65.57289002557545
537975ab71795104807b06b4,20000,20000.0,3.962,11.0,20.0,45.0,45.0,3929.0,65.57289002557545
5810a3d4a70e0356e24d3c6c,20000,20000.0,3.999,8.0,7.0,-14.0,-14.0,3761.0,65.57289002557545
5a72e56d9d5e975657c1460a,20000,20000.0,4.003,11.0,19.0,43.0,43.0,2729.0,65.57289002557545
598d8d1e2afd354f6ef9950d,20000,20000.0,4.007,9.0,50.0,82.0,82.0,2440.0,65.57289002557545
570b68b9e902df590e48d196,20000,20000.0,4.017,11.0,84.0,87.0,87.0,3572.0,100.0
56d813f66d64ff168ab1bfac,20000,20000.0,4.047,3.79,49.0,93.0,93.0,8412.0,65.57289002557545
57a995f564fa71286bac2109,20000,20000.0,4.064,7.0,11.0,37.0,37.0,6510.0,65.57289002557545
5368f053bb72c5150191a140,20000,20000.0,4.065,9.0,8.0,-12.0,-12.0,3820.0,65.57289002557545
5c80bd2ab1ad6a6fc52a7eb3,20000,20000.0,4.07,7.0,6.0,-16.0,-16.0,2464.0,65.57289002557545
59c0e0168696be51cef38e93,20000,20000.0,4.073,6.0,6.0,0.0,0.0,2706.0,100.0
59cdc2112351344fc0dfa54f,20000,20000.0,4.082,9.0,9.0,0.0,0.0,5479.0,65.57289002557545
55af776cc982de2775ba26d2,20000,20000.0,4.084,8.0,59.0,87.0,87.0,5929.0,65.57289002557545
555f4174a4efd10ea5ebaa5f,20000,20000.0,4.097,13.0,30.0,57.0,57.0,3421.0,100.0
59df389c88dd76239f03c701,20000,20000.0,4.097,22.0,19.0,-15.0,-15.0,1103.0,65.57289002557545
5756d060b833235cbc250227,20000,20000.0,4.097,13.0,252.0,95.0,95.0,12041.0,65.57289002557545
54869f80546ead6e5b318f5b,20000,20000.0,4.112,12.0,11.0,-9.0,-9.0,5351.0,65.57289002557545
5acf2091cd968d299afe79a3,20000,20000.0,4.114,6.0,6.0,0.0,0.0,6509.0,65.57289002557545
580dd6425250a21944205a36,20000,20000.0,4.119,5.87,5.0,-17.0,-17.0,4137.0,65.57289002557545
57aeb5fb5a4ac218de83b64d,20000,20000.0,4.13,8.0,7.0,-14.0,-14.0,3700.0,65.57289002557545
58b26eaa01c02f5114ac2ae9,20000,20000.0,4.147,8.0,7.0,-14.0,-14.0,3090.0,65.57289002557545
5c0232c1d9333c676958674e,20000,20000.0,4.165,7.0,6.0,-16.0,-16.0,2019.0,100.0
595b54fcd44a9b1180cb102b,20000,20000.0,4.168,9.0,36.0,75.0,75.0,4345.0,65.57289002557545
5b2620ddd1c360688799eb51,20000,20000.0,4.184,5.78,8.0,28.0,28.0,3975.0,65.57289002557545
58df45e5795cf052ae1c2142,20000,20000.0,4.196,5.66,5.0,-13.0,-13.0,2927.0,65.57289002557545
57820e33ea637711873c1618,20000,20000.0,4.196,3.65,4.0,9.0,9.0,4215.0,65.57289002557545
57edcd19252c15203b411d82,20000,20000.0,4.197,5.71,84.0,94.0,94.0,4657.0,100.0
58183b4ea642e03dc54eda6e,20000,20000.0,4.205,8.0,84.0,91.0,91.0,8960.0,100.0
542a670d4f66d92eba599455,20000,20000.0,4.209,8.0,7.0,-14.0,-14.0,5781.0,65.57289002557545
584fd5cbd67ff04c93c70560,20000,20000.0,4.26,5.0,5.0,0.0,0.0,7773.0,65.57289002557545
53208a086fa88c662a693514,20000,20000.0,4.288,13.0,11.0,-18.0,-18.0,4378.0,100.0
58be502223167e61443f4d92,20000,20000.0,4.292,11.0,10.0,-10.0,-10.0,3648.0,65.57289002557545
57875ba40cb30d38ba46f57d,20000,20000.0,4.31,11.0,37.0,71.0,71.0,7596.0,100.0
5487c9b1b9b7e705069489fb,20000,20000.0,4.319,5.88,9.0,35.0,35.0,6450.0,65.57289002557545
55e7ed3230a9764b0761fc82,20000,20000.0,4.321,2.65,3.0,12.0,12.0,3443.0,65.57289002557545
54898f4c223ebf1cd713fdc2,20000,20000.0,4.33,19.0,105.0,82.0,82.0,3787.0,65.57289002557545
57ff8c180fb8e31870c27d68,20000,20000.0,4.448,8.0,75.0,90.0,90.0,5254.0,100.0
54b8872d40b37856baa55e38,20000,20000.0,4.462,3.66,4.0,9.0,9.0,5882.0,65.57289002557545
5770ca6694fc5029d02c368a,20000,10000.0,3.901,8.0,7.0,-14.0,-14.0,2069.0,50.0
5810c46f02b01e15f8a10e38,20000,10000.0,3.938,5.93,5.5,-8.0,-8.5,787.0,50.0
561dc58d1f1ffb54d008b82f,20000,10000.0,4.144,7.0,12.0,26.0,25.5,2911.0,65.57289002557545
591c4e7f1a071f13df7a63ff,20000,10000.0,4.168,8.0,140.0,95.0,95.0,1910.0,50.0
53e442474497c57e900d7c64,20000,10000.0,4.194,8.0,16.0,50.0,50.0,1589.0,50.0
54125ab34ad3ab158c0f72d9,20000,10000.0,4.236,11.0,10.0,-10.0,-10.0,1717.0,50.0
570d017b1b4ca758e18e407d,20000,10000.0,4.244,8.0,7.0,-14.0,-14.0,2438.0,65.57289002557545
5826f19f20a9402c37313979,20000,10000.0,4.307,9.0,10.0,10.0,10.0,2587.0,50.0
582833faea77701b456c786a,17400,2175.0,3.868,5.45,5.38,0.0,-0.12,326.0,25.0
59aaa4d39fbc514dc80328e3,17000,4250.0,3.899,10.0,17.5,27.0,26.75,571.0,50.0
5b14d31d7e43f22f255ea98c,16000,5333.0,4.19,3.83,38.0,89.0,89.33,1330.0,65.57289002557545
5406cabdc5c2464980dc6314,15100,3775.0,4.167,7.25,23.5,47.0,46.5,772.0,25.0
5ae90e716691361cdb40fb0b,15100,3775.0,4.275,8.25,22.5,50.0,49.5,683.0,25.0
5784d339e8aa8938977fefd0,15050,5017.0,4.146,8.33,17.67,31.0,30.67,965.0,65.57289002557545
5c73a50ba0e25714e7f2bf90,15000,7500.0,3.938,8.0,7.0,-14.0,-14.0,1074.0,65.57289002557545
597767f6171974220c25560a,15000,7500.0,4.03,13.5,11.5,-17.0,-17.0,2312.0,65.57289002557545
5810bc6d61e38656e04e8ba2,15000,7500.0,4.055,6.45,5.5,-17.0,-17.0,1255.0,65.57289002557545
583547f417dc6224cb464117,15000,7500.0,4.058,7.5,7.0,-7.0,-7.0,765.0,65.57289002557545
569f632ed5f0840dda331a97,15000,7500.0,4.238,10.0,14.5,25.0,24.5,1412.0,50.0
57baf75f63834218e305e4f4,13100,2620.0,3.886,9.78,8.6,-12.0,-11.6,804.0,40.0
59c86bce67e9be6f9da5cb03,13000,3250.0,4.03,6.1,43.0,65.0,64.5,717.0,50.0
556d0dc2c00cd721cce30dd1,12000,4000.0,3.996,6.33,6.0,-5.0,-5.33,1431.0,33.0
584bcf7bfef409603f39b619,12000,4000.0,4.018,5.96,6.33,8.0,7.67,619.0,33.0
566eaa533a698c6442549a74,12000,3000.0,3.947,7.4,25.0,38.0,37.5,489.0,50.0
565c13ad389b9b2df29caa32,12000,3000.0,4.137,6.11,11.5,33.0,33.0,312.0,25.0
5667f9745eec70268023940b,11200,2240.0,3.947,10.18,13.0,4.0,4.2,437.0,40.0
58cfdefdacb37b556efdff7c,11100,2775.0,4.02,8.75,9.5,7.0,7.0,320.0,50.0
5832e5632f5e534c23488f06,11100,2775.0,4.101,11.5,17.75,20.0,19.5,521.0,25.0
55542b4b662da7114d591723,11000,3667.0,4.102,8.0,8.0,1.0,1.0,989.0,100.0
5829d1ca96db262f04db2063,11000,5500.0,3.85,8.0,60.5,70.0,69.5,410.0,50.0
5831ae002f5e534c0a485f06,11000,5500.0,3.865,9.0,18.0,31.0,31.0,398.0,65.57289002557545
53994751796f684b7f2193b5,11000,5500.0,3.973,6.93,22.5,41.0,40.5,334.0,50.0
57086fd7fa6bee434d0e5852,11000,5500.0,4.029,6.0,50.0,81.0,80.5,1294.0,65.57289002557545
5954b765abea9167c0495382,11000,5500.0,4.163,10.5,9.0,-16.0,-16.0,1489.0,65.57289002557545
58481b8e728de666bd5b925f,11000,5500.0,4.193,15.0,125.0,88.0,88.0,1344.0,50.0
57c306d73a698c06f98ed450,10200,2550.0,4.114,7.5,21.0,65.0,65.0,310.0,50.0
57fde031235aaa1926afe803,10100,3367.0,4.014,6.67,27.33,51.0,51.33,306.0,33.0
55cc46e9b4f3404582b70222,10100,5050.0,3.928,10.0,27.0,47.0,47.0,206.0,65.57289002557545
5667c747eb4b140fe963ba77,10100,5050.0,3.987,7.5,46.0,46.0,45.5,398.0,65.57289002557545
5b24b6bdd1c3601ba899f0c0,10000,10000.0,3.795,12.0,11.0,-9.0,-9.0,1276.0,100.0
5d4b891183889735374d3c88,10000,10000.0,3.795,8.0,56.0,86.0,86.0,1285.0,65.57289002557545
582872761004352e57ee38a1,10000,10000.0,3.849,9.0,14.0,36.0,36.0,644.0,65.57289002557545
5b14bc7ddaac4575492a01c5,10000,10000.0,3.872,11.0,20.0,45.0,45.0,2841.0,100.0
59a2e74a8696be0eeb7a7ba9,10000,10000.0,3.897,8.0,7.0,-14.0,-14.0,1467.0,100.0
5d3d59c772b0c92f4d1ea32d,10000,10000.0,3.907,7.0,16.0,57.0,57.0,1792.0,65.57289002557545
582d5286168b54404ec5ecf2,10000,10000.0,3.941,13.0,14.0,8.0,8.0,1938.0,65.57289002557545
591ed674fc9cce0fcd7ff354,10000,10000.0,3.952,5.9,5.0,-18.0,-18.0,1933.0,65.57289002557545
5b8beef49996c87b299cdbec,10000,10000.0,3.958,11.0,10.0,-10.0,-10.0,2058.0,65.57289002557545
5833f721e18c0f15d659a8ed,10000,10000.0,3.961,8.0,7.0,-14.0,-14.0,1087.0,100.0
5b629265299c7e3db17cf86d,10000,10000.0,3.975,5.77,5.0,-15.0,-15.0,2892.0,65.57289002557545
58579043e950f24d94f612dc,10000,10000.0,3.976,8.0,13.0,39.0,39.0,2753.0,65.57289002557545
57e90050b97437131f78c7d7,10000,10000.0,3.982,5.78,26.0,78.0,78.0,1426.0,65.57289002557545
584a9e7421390e4cb68dec18,10000,10000.0,3.982,8.0,7.0,-14.0,-14.0,1649.0,65.57289002557545
5620c3b23a698c4bc7d17e8c,10000,10000.0,3.985,12.0,11.0,-9.0,-9.0,3560.0,100.0
58061170aa46c6195c12950b,10000,10000.0,3.988,8.0,9.0,12.0,12.0,1316.0,65.57289002557545
5847df29728de666ef5b853b,10000,10000.0,3.995,8.0,8.0,0.0,0.0,1858.0,65.57289002557545
56669d89eb4b14361d45090f,10000,10000.0,4.018,5.65,25.0,78.0,78.0,418.0,65.57289002557545
58da4490933abf52ad547200,10000,10000.0,4.025,8.0,118.0,94.0,94.0,2519.0,65.57289002557545
578ed3e53a698c2b54ac93f4,10000,10000.0,4.026,11.0,10.0,-10.0,-10.0,2102.0,65.57289002557545
55cc3e5f845591103477a2f8,10000,10000.0,4.033,6.0,9.0,34.0,34.0,2211.0,65.57289002557545
570ceafac277d445e3cbebe5,10000,10000.0,4.053,8.0,7.0,-14.0,-14.0,1312.0,100.0
5b6bb9c8dd0d902d18928318,10000,10000.0,4.054,5.68,7.0,19.0,19.0,1232.0,65.57289002557545
5556c60071e86d19fe7590d4,10000,10000.0,4.055,6.0,7.0,15.0,15.0,1238.0,100.0
5a9cfdb4ccf0c85918542fdd,10000,10000.0,4.066,7.0,6.0,-16.0,-16.0,2483.0,65.57289002557545
565973368f5f027e14060846,10000,10000.0,4.071,14.0,75.0,82.0,82.0,2514.0,65.57289002557545
5730557ae3daeb5b35ee1f0b,10000,10000.0,4.074,6.0,8.0,25.0,25.0,1010.0,100.0
573d951ad57895595f6d5854,10000,10000.0,4.077,8.0,7.0,-14.0,-14.0,2604.0,100.0
567a54fe7071ec7e12a1494e,10000,10000.0,4.079,9.0,8.0,-12.0,-12.0,3101.0,65.57289002557545
5b52ea49b56d05463d973207,10000,10000.0,4.085,8.0,22.0,64.0,64.0,904.0,100.0
5448701f90c77609a237f99f,10000,10000.0,4.088,12.0,13.0,8.0,8.0,893.0,65.57289002557545
5780c6b2e8aa893157a3286f,10000,10000.0,4.101,7.0,6.0,-16.0,-16.0,3078.0,65.57289002557545
5939085087117919c6f12a77,10000,10000.0,4.105,1.91,2.0,5.0,5.0,697.0,65.57289002557545
58c28c4cae99c651278d7e6e,10000,10000.0,4.109,11.0,10.0,-10.0,-10.0,1780.0,65.57289002557545
591c47e34d43573c91966c72,10000,10000.0,4.115,11.0,43.0,75.0,75.0,2521.0,65.57289002557545
5937930e188f3d1bd209896d,10000,10000.0,4.122,11.0,12.0,9.0,9.0,666.0,65.57289002557545
57fcc26f1c813a50b2a86956,10000,10000.0,4.123,6.0,142.0,96.0,96.0,1941.0,65.57289002557545
5acdb384ccf0c86f34c5d539,10000,10000.0,4.125,7.0,6.0,-16.0,-16.0,1797.0,65.57289002557545
5addba5481260b1ddfffe5a3,10000,10000.0,4.145,7.0,16.0,57.0,57.0,1116.0,65.57289002557545
56c3c5d830d9795c3bad3124,10000,10000.0,4.148,13.0,11.0,-18.0,-18.0,2901.0,100.0
59b88527b77173631729908e,10000,10000.0,4.149,4.0,4.0,0.0,0.0,1412.0,100.0
56e6928521790d587623b3b4,10000,10000.0,4.151,5.0,5.0,0.0,0.0,3208.0,100.0
57973560cb38dd77d126e9f1,10000,10000.0,4.152,11.0,16.0,32.0,32.0,1586.0,65.57289002557545
5acc6cc0c3911a32ad141f60,10000,10000.0,4.162,7.0,9.0,23.0,23.0,1838.0,100.0
5961d4e6905fdb5a6f505cd3,10000,10000.0,4.181,8.0,7.0,-14.0,-14.0,1473.0,65.57289002557545
59dc769133a48743534ac5c7,10000,10000.0,4.181,11.0,11.0,0.0,0.0,1520.0,65.57289002557545
586dff6c16e4106b5e5feb58,10000,10000.0,4.183,6.0,76.0,93.0,93.0,1741.0,65.57289002557545
5ae5c3cb4215954239aff8b9,10000,10000.0,4.188,6.0,10.0,40.0,40.0,1496.0,100.0
57d904168172661fe3b3256a,10000,10000.0,4.192,9.0,59.0,85.0,85.0,1721.0,65.57289002557545
58ffff331a1cef16a78c78f4,10000,10000.0,4.203,13.0,84.0,85.0,85.0,2328.0,100.0
598040ea0ec30f7f43a3cc35,10000,10000.0,4.209,9.0,8.0,-12.0,-12.0,3024.0,100.0
56e628924bd2915857b4ffdf,10000,10000.0,4.224,14.0,12.0,-16.0,-16.0,3574.0,65.57289002557545
56f0f2bdc3c3715871ade946,10000,10000.0,4.228,8.0,25.0,68.0,68.0,2324.0,65.57289002557545
5d52278327752b029793c927,10000,10000.0,4.238,1.77,2.0,12.0,12.0,510.0,65.57289002557545
5b43232f86152a07d4ffc58c,10000,10000.0,4.241,8.0,11.0,28.0,28.0,1715.0,65.57289002557545
5b8a5636af279f1699366496,10000,10000.0,4.251,18.0,17.0,-5.0,-5.0,3229.0,65.57289002557545
551c02310570552bbd036dbb,10000,10000.0,4.259,8.0,11.0,28.0,28.0,3345.0,100.0
5ad31267ea8764621df718c0,10000,10000.0,4.28,6.0,31.0,81.0,81.0,2789.0,65.57289002557545
58b81d56e3f66d59b36812ac,10000,10000.0,4.293,7.0,6.0,-16.0,-16.0,3079.0,65.57289002557545
53ad2f5a46188e43c8b6bef6,10000,10000.0,4.301,13.0,84.0,85.0,85.0,2592.0,65.57289002557545
591a999d1a071f7e40e984a4,10000,10000.0,4.301,16.0,14.0,-14.0,-14.0,3075.0,100.0
56e7bdeefdc43f585fce9122,10000,10000.0,4.308,13.0,11.0,-18.0,-18.0,1184.0,65.57289002557545
53f2db3c104dae6bcae0c271,10000,10000.0,4.311,4.0,4.0,0.0,0.0,2150.0,65.57289002557545
5577b101429aa92940bc33e7,10000,10000.0,4.314,6.0,6.0,0.0,0.0,2808.0,100.0
596c927e94158579f28517e3,10000,10000.0,4.322,8.0,47.0,83.0,83.0,1631.0,65.57289002557545
